CUOC,Descripcion_CUOC
13460,"Planean, organizan, dirigen y coordinan actividades de establecimientos o departamentos que prestan servicios financieros y de seguros, tales como líneas y ampliación de crédito, fondos de inversión, negocios fiduciarios, pólizas, entre otros. Estos directivos prestan asesoramiento y asistencia a los clientes sobre temas financieros y de seguros. Se pueden desempeñar en bancos, sociedades de crédito hipotecario, cooperativas de crédito, compañías de seguros, entre otros."
13491,"Gestionan estratégicamente planes, actividades y servicios de bibliotecas, archivos, museos, y galerías  de  arte de acuerdo  con  políticas  internas y normativa vigente. Se pueden desempeñar en bibliotecas, museos, galerías de arte, departamentos de archivos, entre otros."
13492,"Planean, organizan, dirigen y controlan actividades involucradas en la prestación del servicio en el contexto de procesos de negocio, evalúan tendencias de la industria y los riesgos aplicables al negocio, ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos.  Se pueden desempeñar en empresas de consultoría, entre otros."
13499,"Esta ocupación abarca a directores y gerentes de servicios profesionales del Grupo Primario 1349: Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones. Por ejemplo, incluye aquellos que planean, organizan, dirigen y controlan las operaciones que proveen servicios no clasificados anteriormente como: consultoría administrativa y jurídica, servicios penitenciarios, servicios estadísticos, entre otros. Se pueden desempeñar en notarías, empresas de servicios de consultoría, sector público, entre otros."
14110,"Planean, organizan, dirigen y coordinan las actividades de establecimientos hoteleros, moteles y establecimientos similares que ofrecen alojamiento de huéspedes y otros servicios, ya sea como director de un departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en hoteles, moteles, hosterías, residencias estudiantiles, entre otros."
14120,"Planean, organizan, dirigen y supervisan actividades de establecimientos que ofrecen servicios de alimentos y bebidas; coordinan actividades del personal y cumplen con las normas sanitarias y de higiene. Se pueden desempeñar en establecimientos de servicio de alimentos y bebidas, restaurantes, hospitales, hoteles, clubes, entre otros."
14200,"Planean, organizan, coordinan y controlan las actividades en establecimientos que venden productos sobre una base al por mayor o al por menor; son responsables de los presupuestos, dotación de personal, dirección estratégica y operativa de comercio, ya sea como director de un administrador, departamento o como el gerente general de una empresa u organización que no cuenta con una estructura jerarquizada de directivos. Se pueden desempeñar en unidades organizativas dentro de comercios, comercio al por mayor y al por menor, entre otros."
14311,"Planean, organizan, dirigen y controlan actividades y producciones de artes escénicas, culturales, música, cine, teatro, actuaciones de bandas y orquestas entre otros. Están al día con las nuevas tendencias y los avances en las artes creativas y culturales. Se pueden desempeñar en compañías de cine, teatro, sector público, entre otros."
14312,"Gerencian, administran y gestionan planes programas y proyectos en organizaciones públicas y privadas que ofertan productos y servicios asociados al deporte, recreación, actividad física y aprovechamiento del tiempo libre. Se pueden desempeñar en organizaciones deportivas estatales y privadas, entre otros."
14391,"Planifican, dirigen, representan y coordinan la prestación de servicios de administración y gestión de la propiedad horizontal, contratan y supervisan servicios de seguridad, mantenimiento, aseo, entre otros de acuerdo con normas técnicas y legales. Se pueden desempeñar empresas de administración de propiedad horizontal, entre otros."
14399,"Esta ocupación abarca a otros gerentes de servicios del Grupo Primario 1439: Otros gerentes y administradores de servicios no clasificados en otras ocupaciones. Por ejemplo, incluye aquellos que planean, organizan, dirigen y controlan las actividades de establecimientos que proveen servicios no clasificados anteriormente como son los gerentes de agencias de viajes, centros de conferencias, gerente escuela de conducción, centros de contacto y centros comerciales. Se pueden desempeñar en empresas de aeropuertos, puertos, centros comerciales, de convenciones, escuelas de conducción, modelaje, entre otros."
21110,"Dirigen, realizan investigaciones teóricas y aplicadas, desarrollan conceptos, instrumentos, software y métodos operacionales relativos a la materia, espacio, tiempo, energía, fuerzas y campos, y la interrelación entre estos fenómenos físicos en actividades como: la electrónica, las comunicaciones, la generación y la distribución de energía, aerodinámica, óptica, rayos láser, medicina y salud, y la astronomía. Se pueden desempeñar en empresas de fabricación eléctrica, electrónica, universidades, compañías de telecomunicaciones, laboratorios, firmas consultoras y de investigación científica, entre otros."
21120,"Analizan, preparan pronósticos meteorológicos y dirigen investigaciones relacionadas con el estado del tiempo, los cambios y los fenómenos climáticos y atmosféricos en su composición, estructura y dinámica. Se pueden desempeñar en entidades del gobierno, empresas de aviación, instituciones meteorológicas, medios de comunicación, entre otros."
21130,"Investigan, mejoran y/o desarrollan conceptos, teorías y métodos operacionales, aplican los conocimientos científicos relacionados con la química como apoyo a las operaciones industriales, innovación de nuevos compuestos químicos, materiales, productos o procesos, así como desarrollan e implementan el control de calidad de productos o procesos, el monitoreo y control del medio ambiente, y otras aplicaciones relacionadas con la química. Se pueden desempeñar en laboratorios de control de calidad, investigación y desarrollo, industrias químicas, petroquímicas, industrias y laboratorios de alimentos, industrias de procesamiento de metales, de minerales metálicos y no metálicos y otras empresas relacionadas, establecimientos del gobierno, servicios públicos, entre otros."
21141,"Dirigen y participan en estudios, perfeccionan y desarrollan conceptos, teorías y métodos operacionales relacionados con las estructuras, la composición, la evolución y la constitución física del globo terrestre, incluidas la atmósfera e hidrosfera, localizan e identifican los recursos de  hidrocarburos, minerales y aguas subterráneas; apoyan en la planeación e implementan programas de exploración y extracción de hidrocarburos y minerales, evalúan el desarrollo de proyectos de eliminación y disposición de residuos y sus efectos en el medio ambiente. Se pueden desempeñar en empresas petroleras y mineras, firmas geofísicas y de ingeniería e instituciones del gobierno y educativas, entre otros."
21142,"Estudian la naturaleza de las gemas, observan y analizan las propiedades físicas y ópticas de las gemas naturales, sintéticas e imitaciones y reconocen los diferentes fenómenos gemológicos, analizan sus cualidades para sus diferentes usos. Identifican y emiten concepto gemológico con base en la graduación de las gemas. Se pueden desempeñar en organismos gubernamentales, empresas extractoras de minerales, aseguradoras, empresas de comercialización de gemas y joyas, diseño de gemas y joyas, capacitación, laboratorios especializados, museos, joyerías, casas de subastas, entre otros."
21143,"Identifican, analizan, evalúan y generan información de los procesos físicos, químicos, biológicos y geológicos del océano y su relación con la sociedad, las actividades marítimas, el medio ambiente, la atmósfera y zona costera a través de actividades científicas, administrativas, organizativas o asesoría experta. Se pueden desempeñar en firmas consultoras de medio ambiente, geofísicas y de ingeniería costera, marina, marítima, portuaria y fluvial, empresas de energía, ingeniería civil, petroleras y mineras, instituciones del gobierno, empresas de investigación, innovación y desarrollo, entre otros"
21200,"Investigan, perfeccionan o desarrollan conceptos, teorías, métodos operacionales y técnicas matemáticas, actuariales y estadísticas; asesoran o participan en su aplicación práctica en campos como la analítica de datos de  información catastral, de ingeniería,  entre otros campos; actualizan y mejoran la metodología estadística relacionada con la recolección, organización, análisis e interpretación de datos expresados en forma alfanumérica, cuantitativa y espacial; aplican técnicas para resolver problemas en campos científicos; trabajan en su aplicación práctica o en el asesoramiento pertinente que  respaldan la toma de decisiones, aplican los conocimientos en matemáticas, estadística y asuntos financieros al establecimiento y gestión de sistemas de pensiones y de seguros de vida, enfermedad, accidentes y demás análisis de riesgo. Se pueden desempeñar en entidades y organizaciones nacionales, territoriales, universidades, bancos, fiduciarias, compañías de seguros, firmas consultoras y de ingeniería, entre otros."
21310,"Estudian, participan y conducen investigaciones de los organismos vivos, sus interacciones entre sí y con el medio ambiente y aplican estos conocimientos a la solución de los problemas de la salud humana, el medio ambiente, desarrollan procesos biotecnológicos para la transformación, el escalamiento, la purificación y  la obtención de bioproductos. Trabajan en diversos campos como la botánica, la zoología, la ecología, la biología marina, la genética, la inmunología, la farmacología, la toxicología, la fisiología, la bacteriología y la virología, los cuales son aplicables especialmente en áreas como la medicina, la agricultura, la silvicultura y la ganadería. Se pueden desempeñar en laboratorios, bancos de la salud, empresas de consultoría ambiental, empresas de servicios, industria química, químico–farmacéutica, empresas de desarrollo de cosméticos, genética, veterinaria, biotécnicas, empresas de alimentos, suelos, plantas de tratamiento medioambiental, instituciones educativas y de salud, entre otros."
21321,"Investigan, estudian y suministran asesoría, asistencia, consultoría y técnicas sobre diversos aspectos de la planificación de la producción, explotación, gestión de las unidades productivas, de tecnología y de recursos agropecuarios y ambientales, cultivos, manejo de praderas, fertilización, cosecha, postcosecha, agroindustria, manejo integrado del suelo, prevención de plagas, enfermedades y arvenses; nutrición, mejoramiento de la producción, comercialización de los productos y derivados, entre otras prácticas de manejo. Se pueden desempeñar en fincas, empresas rurales, agroindustrias, firmas de consultoría, entidades del gobierno para asistir a la comunidad agropecuaria, empresas agrícolas, entre otros."
21322,"Conducen, desarrollan, prestan asistencia y asesoramiento en programas, planes e investigaciones relacionados con técnicas para aumentar la productividad, la prevención de enfermedades, la explotación y las políticas de gestión de recursos forestales y tierras, viverismo,  erosión del suelo y su composición; comercialización de la producción forestal. Se pueden desempeñar en empresas forestales, de consultoría ambiental, fincas, instituciones educativas, entidades del gobierno, entre otros."
21323,"Diagnostican, recomiendan, actualizan, capacitan, facilitan, asisten y proporcionan acompañamiento en la generación de competencias a los productores rurales, para que incorporen en sus actividades productivas prácticas, productos tecnológicos, tecnologías, conocimientos y comportamientos que beneficien el desempeño agropecuario y el manejo forestal sostenible con enfasis en el bosque natural, el entorno, la competitividad y la sostenibilidad ambiental en pro de la seguridad alimentaria y el fortalecimiento de la cultura forestal y teniendo en cuenta el enfoque diferencial; propician la adopción de nuevas prácticas y conocimientos en la mejora de su desempeño. Se pueden desempeñar en fincas, empresas prestadoras del servicio de extensión agropecuaria y forestal de bosque natural, entidades del gobierno y organismos internacionales, organizaciones para asistir a la comunidad agropecuaria, consultoras ambientales, asociaciones campesinas, empresas agrícolas y forestales, entre otros."
21331,"Estudian, formulan, supervisan, orientan, administran y evalúan los efectos sobre el medio ambiente que ejercen las actividades humanas como la contaminación del aire, agua y ruido, la contaminación del suelo, el cambio climático, la generación de residuos tóxicos y el agotamiento y la degradación de los recursos naturales; ejercen autoridad, representan e influencian en el sistema ambiental mediante el desarrollo de planes y políticas que buscan soluciones para proteger, conservar, restaurar, minimizar y prevenir mayores daños al medio ambiente. Se pueden desempeñar en entidades gubernamentales, organizaciones públicas y privadas, comunidades y entes territoriales, firmas de consultoría, investigación, entre otros."
21332,"Planean, dirigen, organizan, evalúan, formulan, vigilan y ejecutan políticas, estrategias, planes, programas y proyectos de gestión del riesgo de desastres, a través de procesos de conocimiento, reducción de riesgos y manejo de desastres, emergencias y procesos de recuperación. Se pueden desempeñar en entidades públicas territoriales y nacionales, organizaciones privadas, entre otros."
21410,"Dirigen e implementan investigaciones y estudios, diseñan, desarrollan, organizan, supervisan y controlan la operación y mantenimiento de los procesos e instalaciones para lograr eficiencia en la fabricación, la producción industrial, la optimización del recurso humano, la maquinaria y materiales; establecen programas para coordinar las actividades de fabricación, evaluando la rentabilidad y su nivel de seguridad y calidad. Se pueden desempeñar en firmas consultoras, empresas servicios, de fabricación y procesamiento, financieras, de salud, organizaciones del sector público o privado, entre otros."
21420,"Investigan, planean, proyectan, asesoran, diseñan, desarrollan, administran y vigilan la construcción, conservación, operación y reconstrucción de obras de edificación e infraestructura como: aeropuertos, puentes, diques, muelles, represas, carreteras, calles, viaductos, túneles, vías férreas y otras vías de tránsito, edificaciones industriales, comerciales, públicas e incluso residenciales, acueductos, plantas de reciclaje, mataderos, plazas de mercado, cementerios, sistemas de defensa contra inundaciones, evacuación de desechos, tratamiento de aguas potables y residuales; desarrollan e implementan planes y políticas para el ordenamiento de los sistemas de tránsito; gestionan la operación y el mantenimiento de estructuras de ingeniería civil; estudian y asesoran sobre aspectos técnicos y el comportamiento mecánico de determinados materiales. Se pueden desempeñar en empresas constructoras, entidades de regulación, obras de organizaciones públicas y privadas, entre otros."
21430,"Investigan, asesoran y ejercen autoridad sobre el diseño y la ejecución directa de las soluciones para prevenir, controlar o remediar los impactos negativos de la actividad humana sobre el medio ambiente utilizando una variedad de disciplinas de ingeniería, adicionalmente realizan evaluaciones ambientales de los proyectos de construcción y de ingeniería civil y aplican principios de ingeniería para el control de la contaminación, las actividades de reciclaje y la eliminación de residuos. Se pueden desempeñar en organizaciones públicas y privadas, empresas constructoras, comunidades y entes territoriales, firmas de consultoría, investigación, entre otros."
21441,"Investigan, asesoran, diseñan y desarrollan máquinas, instalaciones industriales, equipos y sistemas de procesamiento y producción industrial, generación de energía, evalúan y dirigen su fabricación, instalación, operación, funcionamiento, mantenimiento y reparación o estudian y brindan consultoría sobre aspectos mecánicos de determinados materiales, productos o procesos. Se pueden desempeñar en empresas de generación de energía, industrias de transporte, manufactura, minería, de diseño, fabricación y procesamiento, entre otros."
21442,"Planean, dirigen, asesoran, diseñan, controlan e inspeccionan proyectos de construcción y fabricación naval, materiales, reparaciones, modificaciones, mantenimientos y desguace de naves y artefactos navales. Se pueden desempeñar en firmas consultoras, astilleros, empresas portuarias, sociedades de clasificación naval, empresas navieras, aseguradoras, autoridades marítimas, entre otros."
21443,"Investigan, asesoran, diseñan y desarrollan directamente todo tipo de aparatos que puedan volar, aeronaves, misiles, satélites, radares, vehículos espaciales y generación de energía; asesoran, evalúan y dirigen su fabricación, instalación, funcionamiento, mantenimiento y reparación o estudian y asesoran sobre aspectos mecánicos y aerodinámicos de determinados materiales, productos o procesos; en ocasiones se desplazan a laboratorios o hangares, para probar o inspeccionar las aeronaves. Se pueden desempeñar en institutos e instituciones científicas o públicas, de generación de energía, industria de aviación, transporte aéreo, entre otros."
21450,"Investigan, diseñan, desarrollan y asesoran procesos químicos, y producción a escala comercial de diversas sustancias, materiales, productos y equipos. Vigilan la operación y el mantenimiento de industrias químicas, plásticos, farmacéutico, derivados del petróleo y petroquímico, plantas procesadoras de alimentos y bebidas, medicamentos, materiales sintéticos, entre otros. Asesoran en temas relacionados con el mantenimiento y la reparación de plantas químicas, así como el aseguramiento de calidad, el control de procesos en plantas químicas, la disposición de residuos químicos, bioquímica y biotécnica. Se pueden desempeñar en empresas de fabricación y procesamiento, firmas de consultoría, instituciones educativas y  de investigación, en áreas comerciales técnicas, en el sector público y privado, entre otros."
